Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,0805,37,-12,90,top
C2,10u,0805,30,-8,45,top
C3,22p,0603,28.0507,-6.3663,45,top
C4,22p,0603,24.13,-2.54,225,top
D0,LED,0805,7.62,-23.495,0,top
D1,LED,0805,21.717,-23.495,0,top
D2,LED,0805,35.8886,-23.495,0,top
D3,LED,0805,49.8764,-23.495,0,top
D4,LED,0805,63.9913,-23.495,0,top
D5,LED,0805,78.105,-23.495,0,top
R0,1k,0805,7.6587,-26.035,0,top
R1,1k,0805,21.717,-26.035,0,top
R2,1k,0805,35.8471,-26.035,0,top
R3,1k,0805,49.8779,-26.035,0,top
R4,1k,0805,64.0356,-26.035,0,top
R5,1k,0805,78.0663,-26.035,0,top
R7,10k,0805,27.686,-12.954,180,top
R8,220,0805,57.912,-11.557,90,top
R9,220,0805,57.912,-6.858,270,top
U1,ATmega328P-AU,TQFP-32,18.034,-10.287,135,top
Y1,16MHz,3225,26.035,-4.445,45,top
